text,ID,genre,filename,C1_agency,C1_event,C1_world,C1_overall,C2_agency,C2_event,C2_world,C2_overall,C3_agency,C3_event,C3_world,C3_overall,SPACE,avg_agency,avg_event_seq,avg_worldmaking,avg_overall,maxdiff_agency,maxdiff_es,maxdiff_wm,maxdiff_overall,avg_maxdiff,AD
"Frederick H. Shurnan, Salem, Stokes co.
John Hamilton, Concord, Cabirras co.
KENTUCKY. John Jennings, Lancaster
Martin P. Marshal, Flemingsburgb. T. Willis, Greensburg
Geo. W. Williams, Paris
ice White, Louisville
Francis Johnson, do. James T. Morehead, Bowling GrÂ«Â«o
TENNESSEE.",99,19CNONFIC,19CNONFIC_5S_hvd-32044010558765-norm.txt,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,0,0,0,0
"Good, thou speakest plainly. Woe betide a liar, whenso I get hold of him. Ye want me on the Western Circuit; by God, and ye shall have me, when London traitors are spun and swung. There is a family called De Whichehalse living very nigh thee, John?' This he said in a sudden manner, as if to take me off my guard, and fixed his great thick eyes on me.",665,NOVEL19C,NOVEL19C_5S_1-EN_1869_Blackmore-R-D-_LornaDoone_Novel.txt,2,1,2,1.666666667,2,2,3,2.333333333,1,1,1,1,,1.666666667,1.333333333,2,1.666666667,1,1,2,1.333333333,1.333333333,0.444444444
"Having therefore among other Fishes dissected the head of a Xiphias or Sword fish, who hath a very big eye, he hath not observed any considerable cavity in the Optique Nerve, nor any Nervous Fibres; but found, that the middle of this Nerve is nothing else, but a large Membrane folded according to its length in many doubles almost like a Fan and invested by the Dura Matter. Eustachio a famous Anatomist, had written something of this before, but obscurely, and without mentioning the Animal, wherein he had made this observation. Ccc2 4. The 4. The same Malpighi thought he should have met with the same thing in Terrestrial Animals; but he found, that Fishes alone have such a structure of the Optique Nerve: For that of an Ox, Pig, and other such Animals, is nothing but a heap of many small Fibres of the same substance with the Brain, wrapped about with the Dura Matter, and accompanied with many little vessels with blood.",402,SCIENCE,SCIENCE_5S_101221____1666.txt,3,3,3,3,3,2,3,2.666666667,1,2,4,2.333333333,,2.333333333,2.333333333,3.333333333,2.666666667,2,1,1,0.666666667,1.333333333,0.222222222
"He appeared perfectly round, free from rays and colours, and no Ansae to be seen. My worthy friend Mr. Townly in his last to me, bearing date November. 1671, desires me to continue the Observations of Saturn, telling me, that he looked at him one night, and could hardly distinguish his Line of the Ansulae, but plainly saw a dark line through him near his Upper part. A week or two after the Observation of Saturn, which I made Octob. 12. and sent you in my former, I had frequently the same Appearance, though in a wider Aperture, than I use at present, etc.",365,SCIENCE,SCIENCE_5S_101115____1671.txt,4,3,4,3.666666667,3,2,3,2.666666667,3,1,1,1.666666667,,3.333333333,2,2.666666667,2.666666667,1,2,3,2,2,0.666666667
"He concludes with the way of Winding off the Baggs, and informs us, how many threads together will make good substantial silk; where he affirms, that sometimes he hath reckoned 930. Bononian feet of silk, wound off from one bag, without the exterior lanugo, and the inmost last part, which both together might make a fourth part of that length more. DESCRIPTIO N II. DESCRIPTIONANATOMIQUE d'un CAMELEO N, d'un CASTO R, d'un DROM ED AIR E, d'un OUR S, et d'une GAZELL E. A Paris 1669. in 4o. THe Observations of these Animals dissected were made in the Royal Library at Paris by some of the Ingenious Philosophers there.",337,SCIENCE,SCIENCE_5S_101012____1669.txt,2,2,2,2,3,1,2,2,1,1,1,1,,2,1.333333333,1.666666667,1.666666667,2,1,1,1,1.333333333,0.444444444
"He is a little querulous, I think. He so enjoyed your visit. Poor fellow! it is sad to see him so ill, isn't it?"" CHAPTER IX.",683,NOVEL19C,NOVEL19C_5S_1-EN_1893_Harraden-Beatrice_ShipsThatPassintheNight_Novel.txt,4,2,3,3,2,1,2,1.666666667,1,1,2,1.333333333,,2.333333333,1.333333333,2.333333333,2,3,1,1,1.666666667,1.666666667,0.666666667
"he multiplies the Root 14 4/ 14 ( not into it self, but ) into 14 ( a part thereof, ) to make 200, which he will have to be the Square of that Root. Nor is it a mere slip of negligence in the computation, but his Rule directs to it; Any number given is produced by the greatest Root multiplied into it self, and into the remaining Fraction. Whereof he gives this instance: Let the number given be 200 Squares, the greatest Root is 14 4/ 14 Squares ( he should rather have said Lengths; but that is a small fault with him; ) I say, that 200 is equal to the product of 14 into it self ( which is 196, ) together with 14 multiplied into 4/ 14 ( which is equal to 4: ) that is 14 4/ 14 multiplied into 14. But this calculation is again contradicted in his third proposition, where he calculates the same Square otherwise, as we shall see by and by. In the mean time let 's consider this alone, and see the contradictions within it self.",357,SCIENCE,SCIENCE_5S_101094____1671.txt,2,3,1,2,3,3,1,2.333333333,1,1,1,1,,2,2.333333333,1,1.777777778,2,2,0,1.333333333,1.333333333,0.518518519
"He swam powerfully and was dragged ashore by Pete and Hans at the very point where swimming ceased to be possible and destruction began. They knew that the time a man could cling to a slippery rock in the face of that driving current was a matter of minutes, and they ran as fast as they could up the bank to a point far above where Thornton was hanging on. They attached the line with which they had been snubbing the boat to Buck's neck and shoulders, being careful that it should neither strangle him nor impede his swimming, and launched him into the stream. He struck out boldly, but not straight enough into the stream. He discovered the mistake too late, when Thornton was abreast of him and a bare half-dozen strokes away while he was being carried helplessly past.",699,NOVEL19C,NOVEL19C_5S_1-EN_1903_London-Jack_TheCalloftheWild_Novel.txt,5,5,5,5,5,5,5,5,4,5,5,4.666666667,,4.666666667,5,5,4.888888889,1,0,0,0.333333333,0.333333333,0.148148148
"He will be just as sly in doing the same thing in
London; for he has learned to calculate: and then it is probablo
he will set off for America. A stoppage of payment at the bank is not a new thing. Smith
in his Wealth of Nations, book ii. chap. 2. says, ""that in the
year 1696, exchequer bills fell forty, fifty, and sixty percent.",92,19CNONFIC,19CNONFIC_5S_hvd-32044010093235-norm.txt,4,4,2,3.333333333,2,2,2,2,1,1,2,1.333333333,,2.333333333,2.333333333,2,2.222222222,3,3,0,2,2,0.740740741
"His face, albeit no stranger to the use of their pigments and unguents, still showed fair and freckled. His hair bore no resemblance to their lank black locks; of an auburn hue and resolutely curling, it defied the tonsure to which it had been for years subjected, coming out crisp and ringleted close to his head where he was designed to be bald, and on the top, where the ""war-lock"" was permitted to grow, it floated backward in two long tangled red curls that gave the lie direct to the Indian similitude affected by the two surmounting tips of eagle feathers. He was arrayed in much splendor, according to aboriginal standards; the fringed seams of his hunting shirt and leggings, fashioned of fine white dressed doeskin, as pliable as ""Canton silk crape,"" were hung with fawns' trotters; his moccasins were white and streaked with parti-colored paint; he had a curious prickly belt of wolves' teeth, which intimated his moral courage as well as sylvan prowess, for the slaying of these beasts was esteemed unlucky, and shooting at them calculated to spoil the aim of a gun; many glancing, glittering strings of ""roanoke"" swung around his neck. Nothing could have been finer, athletically considered, than his attitude at this moment of the trader's speculative observation. The discoidal quartz chungke-stone[2] had been hurled with a tremendous fling along the smooth sandy stretch of the yard, its flat edge, two inches wide, and the curiously exact equipoise of its fashioning causing it to bowl swiftly along a great distance, to fall only when the original impetus should fail; his competitor, Wyejah, a sinewy, powerful young brave, his buckskin garb steeped in some red dye that gave him the look when at full speed of the first flying leaf of the falling season, his ears split and barbarically distended on wire hoops[3] and hung with silver rings, his moccasins scarlet, his black hair decorated with cardinal wings, had just sent his heavy lance, twelve feet long, skimming through the air; then Otasite, running swiftly but lightly abreast with him, launched his own long lance with such force and nicety of aim that its point struck the end of Wyejah's spear, still in flight in mid-air, deflecting its direction, and sending it far afield from the chungke-stone which it was designed in falling to touch.",701,NOVEL19C,NOVEL19C_5S_1-EN_1904_Murfree-MaryNoailles_TheFrontiersman_Novel.txt,4,4,4,4,2,2,5,3,3,5,5,4.333333333,,3,3.666666667,4.666666667,3.777777778,2,3,1,1.333333333,2,0.518518519
"His great comfort was, that Guy was less ill than he had been himself, and that there was no present danger; otherwise, he could never have endured the conviction that all had been caused by his own imprudence. Imprudence! Philip was brought very low to own that such a word applied to him, yet it would have been well for him had that been the chief burthen on his mind. Was it only an ordinary service of friendship and kindred that Guy had, at the peril of his own life, rendered him? Was it not a positive return of good for evil?",654,NOVEL19C,NOVEL19C_5S_1-EN_1853_Yonge-Charlotte_TheHeirofRedcliffe_Novel.txt,3,3,2,2.666666667,3,3,2,2.666666667,3,3,3,3,,3,3,2.333333333,2.777777778,0,0,1,0.333333333,0.333333333,0.148148148
"His way to prepare it is this, as he told me himself, he twice mashes it with Fresh-Malt, and twice boils it well; yet all this kept it not from souring; as I observed during my stay there. We bought of it to carry to Jamaica, and then he directed us thus. To every Rundlet of 5 Gallons, after it is placed in the ship, not to be stirred any more, put in two new laid Eggs whole, and let them lic in it; he said that in a fortnight or little more, the whole Egg-shells would be dissolved, and the Eggs become like Wind. Eggs, enclosed only in a thin skin; after this, the whole White would be preyed on, but the Yolk would not be touched or corrupted. By this means we did preserve the Ale to Jamaica, and it was much better, than at Deal.",403,SCIENCE,SCIENCE_5S_101224____1666.txt,4,4,4,4,3,5,5,4.333333333,1,4,3,2.666666667,,2.666666667,4.333333333,4,3.666666667,3,1,2,1.666666667,2,0.666666667
"I am sure Mr. Falkland would do you any good office in the world:""â€”till she was checked by some gesture of impatience and fierceness. At length she wholly conquered her heedlessness and inattention. But it was too late. Mr. Tyrrel already suspected the existence of that passion which she had thoughtlessly imbibed. His imagination, ingenious in torment, suggested to him all the different openings in conversation, in which she would have introduced the praise of Mr. Falkland, had she not been placed under this unnatural restraint.",605,NOVEL19C,NOVEL19C_5S_1-EN_1794_Godwin-William_CalebWilliams_Novel.txt,5,4,3,4,3,3,3,3,4,3,3,3.333333333,,4,3.333333333,3,3.444444444,2,1,0,1,1,0.37037037
"I assisted at the opening of her Body, and having found in the matrix a little round mass of the bigness of a great black Cherry, I took the husband aside, and asked him, Num a tempore fluxus menstruorum uxorem cognevisset? And having received for answer, that he had, I prayed him to let me carry home with me this little ball, which I had found in her womb. I was no sooner come home but I opened it, and found, that nature had wrought with so much activity in so small a time, that one might already see the first lineaments of a Child, since we observed in it the head as distinct from the Body, and in the head we took notice of some traces of its principal organs. As for the rest of the Body, it was nothing as yet but a mass grossly wrought, as you may see in this Figure. But further, the Embrio represented in Fig.",302,SCIENCE,SCIENCE_5S_100918____1672.txt,4,5,5,4.666666667,4,5,5,4.666666667,4,5,4,4.333333333,,4,5,4.666666667,4.555555556,0,0,1,0.333333333,0.333333333,0.148148148
"I can at present call to mind but two sorts of Insects that I have seen, which smel of Musk. The one is like the common Capricornus or Goat-chafer, which is mentioned by all Naturalists that write of Insects, and which smels so strong of that perfume, that you may scent it at a good distance as it flies by, or fits near you. The other is a small sort of Bee, which in the South and Eastparts of England is frequently to be met withal in Gardens among flowers in Spring-time. I remember, they were very plentiful in Sir Edw. Duke 's Tulip-Garden, when the Tulips flowred.",355,SCIENCE,SCIENCE_5S_101086____1671.txt,4,4,5,4.333333333,3,1,3,2.333333333,1,1,3,1.666666667,,2.666666667,2,3.666666667,2.777777778,3,3,2,2.666666667,2.666666667,1.037037037
"I disapprove of journeys, or excitement, in all cases where the patient is in the low, fluttered state in which Mrs. Wilson is. If you take MY advice, you will certainly put a stop to all thoughts of going to Liverpool."" He really had completely changed his opinion, though quite unconsciously; so desirous was he to comply with the wishes of others. ""O sir, thank you! And will you give me a certificate of her being unable to go, if the lawyer says he must have one?",644,NOVEL19C,NOVEL19C_5S_1-EN_1848_Gaskell-Elizabeth_MaryBarton_Novel.txt,3,2,3,2.666666667,3,3,4,3.333333333,2,2,3,2.333333333,,2.666666667,2.333333333,3.333333333,2.777777778,1,1,1,1,1,0.37037037
"I got separated from the reg'ment. Over on th' right, I got shot. In th' head. I never see sech fightin'. Awful time.",687,NOVEL19C,NOVEL19C_5S_1-EN_1895_Crane-Stephen_TheRedBadgeofCourage_Novel.txt,5,3,4,4,3,3,4,3.333333333,1,1,1,1,,3,2.333333333,3,2.777777778,4,2,3,3,3,1.185185185
"I I. the Entry, by which the Sea-water passes into B B. B B. the first Receptacle; in which the Water is kept 20. inches deep. CC C. the second Receptacle, where the Water makes three turnings, as you see, and is 10. inches deep. 22. the Opening, by which the first and second Receptacle have communication one with another. EE F. the third Receptacle, which is properly called the Marish.",339,SCIENCE,SCIENCE_5S_101019____1669.txt,1,2,2,1.666666667,1,1,2,1.333333333,1,1,1,1,,1,1.333333333,1.666666667,1.333333333,0,1,1,0.666666667,0.666666667,0.222222222
"I never had any social relations with him. I never passed a dozen words
with him in my life â€” hardly a good morning."" In his memoirs Governor Held states that he supported
Mr. Turner when candidate for the Confederate Congress,
that Mr. Turner visited him in Raleigh, where they planned
the campaign and separated the best of friends. Also two Republican Senators were expelled and Demo
ocrats elected to fill their vacancies. One of these was
Edwards, above referred to, one of the chief tools of the
prosecution.",52,19CNONFIC,19CNONFIC_5S_dul1-ark-13960-t1bk1n53z-norm.txt,4,2,2,2.666666667,4,3,3,3.333333333,4,3,3,3.333333333,,4,2.666666667,2.666666667,3.111111111,0,1,1,0.666666667,0.666666667,0.296296296
"I sent the letter myself to Mr. Trenchard's, where I found out he had been staying."" As Mrs. Harper said this, her husband's eyes literally glared. ""You knew where he was staying?â€”Agathaâ€”Agatha?"" But Agatha's look was fixed on the door, to which her sisters-in-law had gathered hastily. There was a talking outsideâ€”a welcome as it seemed.",652,NOVEL19C,NOVEL19C_5S_1-EN_1853_Craik-Dinah_Agatha-sHusband_Novel.txt,4,4,3,3.666666667,4,4,5,4.333333333,3,3,3,3,,3.666666667,3.666666667,3.666666667,3.666666667,1,1,2,1.333333333,1.333333333,0.444444444
"I shall here give you the description of it in short. ABCD. is a strong Tube, in the bottom of which there is a great concave speculum CD, pierced in the middle E. F. is a convex speculum, so disposed, as to its convexity, that it reflects the species, which it receives from the great speculum, towards the hole E, where is an Eye-glass, which one looks through. The advantage, which I find in this Instrument above that of MrNewton, is first, that the mouth or aperture AB of the Tube may be of what biguess you please; and consequently you may have many more rays upon the Concave Speculum, than upon that, of which you have given us the description. The reflexion of the rays will be very natural, since it will be made upon the axis it self, and therefore more vivid.",307,SCIENCE,SCIENCE_5S_100929____1672.txt,1,4,3,2.666666667,1,1,2,1.333333333,1,1,4,2,,1,2,3,2,0,3,2,1.333333333,1.666666667,0.444444444
"I should like you to tell me just thisâ€”under the circumstances I think there's no objection to my putting the questionâ€”is there anybody else in the field before me?"" ""N-no; I think not. I can't say."" ""If the young lady has no other attachment,"" said Mr. Bragg, in his slow, pondering way, ""I don't see why I should not be able to make her happy. What do you think?""",675,NOVEL19C,NOVEL19C_5S_1-EN_1888_Trollope-FrancesEleanor_ThatUnfortunateMarriage_Novel.txt,3,2,2,2.333333333,3,3,3,3,2,2,2,2,,2.666666667,2.333333333,2.333333333,2.444444444,1,1,1,1,1,0.37037037
"I sometimes fancy that I am hardly zvorthy
nozv to look back 2ipon my own past. I zvas
gifted naturally zuith a curiotis warmth and
sincerity of nature, that must have been very
beautiful. But my peculiar gift, my ozvn own
gift, was a pozver of sympathy with others, by
which quite 7iaturally I tcsed to throw myself


into their places understand their difficulties,
and excite myself with their interests. IV heft
I was yet quite a child, that, I know, is what
men felt in me â€” / never cared for boys â€” one
man especially. It zuas then that life 6ega)t
for me, and what it all meant broke on me like
a revelation.",76,19CNONFIC,19CNONFIC_5S_dul1-ark-13960-t7cr6hc80-norm.txt,5,3,4,4,3,3,2,2.666666667,3,2,2,2.333333333,,3.666666667,2.666666667,2.666666667,3,2,1,2,1.666666667,1.666666667,0.666666667
"I supposed him unacquainted with the fate of his wife, and his appearance confirmed this persuasion. A brow expanding into exultation I had hitherto never seen in him, yet such a brow did he now wear. Not only was he unapprized of the disaster that had happened, but some joyous occurrence had betided. What a reverse was preparing to annihilate his transitory bliss! No husband ever doated more fondly, for no wife ever claimed so boundless a devotion.",612,NOVEL19C,NOVEL19C_5S_1-EN_1798_Brown-CharlesBrockden_Wieland_Novel.txt,3,3,3,3,3,2,4,3,4,3,3,3.333333333,,3.333333333,2.666666667,3.333333333,3.111111111,1,1,1,0.333333333,1,0.148148148
"I took the same stone, and cast it into the Fire, letting it remain there, till it was thorough hot, altering its colour from black to red, and being red-hot, I applied the North-pole to another Lath nail cold, and untouched before, which it took up but faintly, yet held it suspended for some time. Two or three days after, I took the same Loadstone, and found that it attracted then as strongly, as before it was cast into the Fire. Whence I inferred, that the Fire somewhat lessened its Attractive faculty, but did not deprive the Stone of it. Cyder-season approaching, I know not how to conceal from the delicate and curious Cyder-drinker ( though I my self find the pleasures of all liquors in one, even that of fountain water* ) the notice of a liquor as commendable, as yet rare. It is a composition of the Juyces of good Cyder-apples and Mulberries, producing the best tasted and most curiously coloured liquor, that many ever saw or tasted.",404,SCIENCE,SCIENCE_5S_101225____1666.txt,4,4,4,4,4,3,3,3.333333333,1,4,3,2.666666667,,3,3.666666667,3.333333333,3.333333333,3,1,1,1.333333333,1.666666667,0.444444444
"I urged and entreated

him to take up his residence at Bhaugulpore, where

there was a small congregation of English ready to

listen to him, thousands of Hindus and Mussulmans,

and at least a thousand of hill people, to all of whom


he would, in all probability, have been very ust'ful. But no, he was determined to go at once to the hills;
and he went. Shortly after his arrival at the base of
the hills he was seized with fever; he then began to
retreat, as is supposed, to Monghyr, but unable to get
along, he stopped at a village about two miles on this
side of Sukree Gully, where he breathed his last. Some
European gentlemen, passing down the river just after
he died, stopped and kindly took him up and buried
him. When I heard of his death I went out in search
of his grave, and also to inquire among the natives the
particulars of the melancholy event; but all 1 could get
from them was that he was seven days ill in the village,
and the last iwo senseless.",74,19CNONFIC,19CNONFIC_5S_dul1-ark-13960-t7br9mf03-norm.txt,5,5,5,5,5,5,5,5,4,5,5,4.666666667,,4.666666667,5,5,4.888888889,1,0,0,0.333333333,0.333333333,0.148148148
"I wadna that his name were Gordon for a hunder civis."" Accordingly I got liberty to pass; but as soon as I got out of sight, I turned to the left, and escaped to the moors of Bew[351]castle. I had now found out the invaluable art of flint and frizzle, and could kindle a fire whenever I pleased. So I sought out a lonely wild dell, and lighting a fire of birns and strong heather, roasted two slashing slices of my shoulder of bacon. I also took a good shave of bread from my friend the tailor's hearth-bannock; but after all I could not think of adulterating the savoury delicious fare by any unnatural intermixture,â€”so I ate up the dry bread by itself, and then smacked up the bacon afterwards.",632,NOVEL19C,NOVEL19C_5S_1-EN_1822_Hogg-James_ThreePerilsofMan_Novel.txt,5,4,5,4.666666667,5,5,5,5,2,4,4,3.333333333,,4,4.333333333,4.666666667,4.333333333,3,1,1,1.666666667,1.666666667,0.666666667
"I'm as proud as Lucifer, but such favors from such people don't burden me, and I accepted gratefully. When I got back to the nursery there was such an uproar in the parlor that I looked in, and there was Mr. Bhaer down on his hands and knees, with Tina on his back, Kitty leading him with a jump rope, and Minnie feeding two small boys with seedcakes, as they roared and ramped in cages built of chairs. ""We are playing nargerie,"" explained Kitty. ""Dis is mine effalunt!"" added Tina, holding on by the Professor's hair.",664,NOVEL19C,NOVEL19C_5S_1-EN_1869_Alcott-Louisa_LittleWomen_Novel.txt,4,4,4,4,5,5,5,5,3,4,3,3.333333333,,4,4.333333333,4,4.111111111,2,1,2,1.666666667,1.666666667,0.592592593
"If he has any accomplices within the hÃ´tel we shall probably be able by that means to discover who the accomplice is.' Lighting a match and shading it with his hands, Racksole showed them both out of the little cellar. 'Now if you lock this glass door on the outside he can't escape this way: the panes of glass are too small, and the woodwork too stout. So, if he comes into the trap, you two will have the pleasure of actually seeing him frantically writhe therein, without any personal danger; but perhaps you'd better not show yourselves.' In another moment Felix Babylon and Nella were left to themselves in the darkness of the cellar, listening to the receding footfalls of Theodore Racksole.",697,NOVEL19C,NOVEL19C_5S_1-EN_1902_Bennett-Arnold_GrandBabylonHotel_Novel.txt,4,3,4,3.666666667,4,4,5,4.333333333,3,2,3,2.666666667,,3.666666667,3,4,3.555555556,1,2,2,1.666666667,1.666666667,0.592592593
"If it can borrow $10,000 to
$15,000 a year, and its creditors will permit
it to sink a yearly portion of its capital, equal
to the depreciation in value of the
mines by taking away the coal, it may
go on making dividends, SfC. Spc. until the
mines are exhausted. But when they fail
there will be a reckoning without assets,
the whole concern will be resolved into its
original elements. Creditors and stockholders
will be brethren in affliction.",26,19CNONFIC,19CNONFIC_5S_coo-31924004412130-norm.txt,1,4,1,2,2,3,2,2.333333333,3,3,3,3,,2,3.333333333,2,2.444444444,2,1,2,1,1.666666667,0.37037037
"In reply to the second objection, it may be stated that this system,
according to present calculation, requires about 3-4 tonne for each line
in every hundred yards of the channel to be defended. â€¢ Supposing three
lines, this gives 2 1-4 tonnes powder for every 100 yards. Now, as this
system rif defence can be applied wherever the channel is most favourable,
on even the largest rivers, points may be selecte<l Avhere that
channel is not over 500 yards in width. This would require between
twelve and thirteen tonnes of powder. If we take the comparative expenditure
of powder in batteries, the smallest charges for guns of that
description, average 8 lbs.",85,19CNONFIC,19CNONFIC_5S_dul1-ark-13960-t9m33mv15-norm.txt,1,4,3,2.666666667,1,1,1,1,1,1,2,1.333333333,,1,2,2,1.666666667,0,3,2,1.666666667,1.666666667,0.666666667
"In the Effects and Motions of Fire and Burning Spirits. In the Rising and Falling of Bodies, but especially of Water in Pumps, Over-shot Mills, Leaks in Ships, the Heights of Rivers at their Head above their fall into the Sea. In Bellows. In the Prices of several Commodities, as Masts, Diamonds, large Timber, Amber, Load-stones, &amp; c. 18. In Mill-dams, Sea-banks, and the Bulwarks or Walls of Fortresses.",381,SCIENCE,SCIENCE_5S_101175____1674.txt,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,0,0,0,0
"in the first English Edition, printed A. 1660. at Oxford, and enriched since, by the same, with a Continuation of New Experiments touching the Spring and Weight of the Air, and their effects, printed A. 1669. in the same place: Which two Treatises being compared with what hath been heretofore publish't by the aforesaid Schottus, and now by this Author, it will easily appear to sagacious and impartial Readers, to which of these two Gentlemen, Mr. Boyle and Mons. De Gericke, the Curious are most obliged, there having been at first but six experiments made by the latter of them, published by Schottus, in Art Hydrautico pneumatica, about A. 1656; which afterwards were called Antiqua by the same, in his Technica Curiosa, printed A.",321,SCIENCE,SCIENCE_5S_100965____1672.txt,2,2,1,1.666666667,2,2,1,1.666666667,1,1,1,1,,1.666666667,1.666666667,1,1.444444444,1,1,0,0.666666667,0.666666667,0.296296296
"In this year nothing more memorable happened in the parish, saving that the cotton-mill dam burst about the time of the Lammas flood, and the waters went forth like a deluge of destruction, carrying off much victual, and causing a vast of damage to the mills that are lower down the stream. It was just a prodigy to see how calmly Mr Cayenne acted on that occasion; for, being at other times as crabbed as a wud terrier, folk were afraid to tell him, till he came out himself in the morning and saw the devastation; at the sight of which he gave only a shrill whistle, and began to laugh at the idea of the men fearing to take him the news, as if he had not fortune and philosophy enough, as he called it, to withstand much greater misfortunes. CHAPTER XXXVIII YEAR 1797

When I have seen in my walks the irrational creatures of God, the birds and the beasts, governed by a kindly instinct in attendance on their young, often has it come into my head that love and charity, far more than reason or justice, formed the tie that holds the world, with all its jarring wants and woes, in social dependence and obligation together; and, in this year, a strong verification of the soundness of this notion was exemplified in the conduct of the poor haverel lassie Meg Gaffaw, whose naturality on the occasion of her mother's death I have related at length in this chronicle. In the course of the summer, Mr Henry Melcomb, who was a nephew to Mr Cayenne, came down from England to see his uncle. He had just completed his education at the college of Christ Church, in Oxford, and was the most perfect young gentleman that had ever been seen in this part of the country.",630,NOVEL19C,NOVEL19C_5S_1-EN_1821_Galt-John_AnnalsoftheParish_Novel.txt,3,2,3,2.666666667,3,3,3,3,3,2,2,2.333333333,,3,2.333333333,2.666666667,2.666666667,0,1,1,0.666666667,0.666666667,0.222222222
In truth I am in love with death; no maiden ever took more pleasure in the contemplation of her bridal attire than I in fancying my limbs already enwrapt in their shroud: is it not my marriage dress? Alone it will unite me to my father when in an eternal mental union we shall never part. I will not dwell on the last changes that I feel in the final decay of nature. It is rapid but without pain: I feel a strange pleasure in it. For long years these are the first days of peace that have visited me.,628,NOVEL19C,NOVEL19C_5S_1-EN_1819_Shelley-Mary_Mathilda_Novel.txt,3,2,2,2.333333333,3,2,3,2.666666667,1,1,2,1.333333333,,2.333333333,1.666666667,2.333333333,2.111111111,2,1,1,1.333333333,1.333333333,0.518518519
"In Winter, Ravens, Eagles, Wild-Ducks, Swans. Whither the Summer Birds fly, we know not. We are pretty well stored with Horses, Oxen, Cows, Sheep, Dogs, and in some Places with Hens. Foxes there are in the Mountains; and when the Groenland Ice comes upon us, that brings with them those terrible Guests, that do us so much Mischief, I mean, a great many Bears. Our Oxen and Cows live in Winter upon Hay; but our Horse and Sheep make a Shift to live upon the Grass under the Snow, and the Corallin-moss, called Muscus Marinus.",384,SCIENCE,SCIENCE_5S_101183____1674.txt,4,4,5,4.333333333,2,2,3,2.333333333,1,1,2,1.333333333,,2.333333333,2.333333333,3.333333333,2.666666667,3,3,3,3,3,1.111111111
"Indeed, to give him his due, I never seen a man more fair and honest, and easy in all his dealings, from first to last, as Sir Condy, or more willing to pay every man his own as far as he was able, which is as much as any one can do. 'Well,' says he, joking like with Jason, 'I wish we could settle it all with a stroke of my grey goose quill. What signifies making me wade through all this ocean of papers here; can't you now, who understand drawing out an account, debtor and creditor, just sit down here at the corner of the table and get it done out for me, that I may have a clear view of the balance, which is all I need be talking about, you know?' 'Very true, Sir Condy; nobody understands business better than yourself,' says Jason. 'So I've a right to do, being born and bred to the bar,' says Sir Condy.",615,NOVEL19C,NOVEL19C_5S_1-EN_1800_Edgeworth-Maria_CastleRackrent_Novel.txt,4,3,3,3.333333333,3,2,3,2.666666667,3,2,3,2.666666667,,3.333333333,2.333333333,3,2.888888889,1,1,0,0.666666667,0.666666667,0.296296296
"Inquiries For Hungary and Transylvania. In prosecution of the Engagement, published Numb. 23. p. 414, 422. we now subjoyn some other Inquiries, and first these, that were very lately recommended to a studious and inquisitive Transylvanian, who from London returned to his Country, and promised to procure good Answers to the following particulars, Viz. 1. what is observable in Hungary, Transylvania, and the Neighbouring parts, as to Minerals, Springs, Warm Baths, Earths, Quarries, Metals, &amp; c. ( Reference was here given to the Inquiries concerning Mines, printed Num. 19. )",397,SCIENCE,SCIENCE_5S_101210____1666.txt,1,2,1,1.333333333,2,2,2,2,1,1,1,1,,1.333333333,1.666666667,1.333333333,1.444444444,1,1,1,1,1,0.37037037
"Inquiries for Persia. WHat are chiefly the present Studies of the Persians; and what Kind of Learning they now excel in? What other Trades or Practices, besides Silk-and Tapistrymaking, they are skilled in? Whether, there being already good Descriptions in Words of the Excellent Pictures and Basse Relieves, that are about Persepolis at Chimilnar, yet none very particular; some may not be found sufficiently skilled, in those parts, that might be engaged to make a Draught of the Place, and the Stories there pictured and carved? How they make that Plaister, wherewith in those parts and in India they line their Tanks or Cisterns, and which, when dry, shines like Marble, and is much harder?",386,SCIENCE,SCIENCE_5S_101191____1666.txt,1,1,2,1.333333333,2,1,1,1.333333333,2,1,1,1.333333333,,1.666666667,1,1.333333333,1.333333333,1,0,1,0,0.666666667,0
"Is that tapestry thing of immediate consequence? I mean, can you leave it and come into my study? I want to speak to you about something very serious to us all.' 'Very serious to us all.' Mr. Lennox had never had the opportunity of having any private conversation with her father after her refusal, or else that would indeed be a very serious affair.",655,NOVEL19C,NOVEL19C_5S_1-EN_1854_Gaskell-Elizabeth_NorthandSouth_Novel.txt,3,2,2,2.333333333,3,3,3,3,2,1,2,1.666666667,,2.666666667,2,2.333333333,2.333333333,1,2,1,1.333333333,1.333333333,0.444444444
"Is there fate amongst us still, send down from the pagan world of old, that such things must be, and in such way? This poor mother, all unknowing, and all for the best as she think, does such thing as lose her daughter body and soul, and we must not tell her, we must not even warn her, or she die, then both die. Oh, how we are beset! How are all the powers of the devils against us!"" Suddenly he jumped to his feet.",688,NOVEL19C,NOVEL19C_5S_1-EN_1897_Stoker-Bram_Dracula_Novel.txt,3,2,2,2.333333333,3,3,3,3,3,3,3,3,,3,2.666666667,2.666666667,2.777777778,0,1,1,0.666666667,0.666666667,0.296296296
